x,y,z,vx,vy,vz,E_tot,Lz,phase_chi,ParticleIDs,halo,level,PeakMassIndex_ID,AccretedFlag,BoundFirstTime
-43.11572,-14.030094,3.9988976,135.17262,223.7432,104.50706,-117171.108833126,-7750.364598277722,-379.4743628000001,8796154525653,26,4,4664,0.0,2.294945
79.88626,-9.362906,-41.017467,-19.847038,-83.162415,-37.597256,-116181.8170776324,-6829.360258090327,-767.0289568,8796172133041,26,4,4664,0.0,4.250308
81.868256,8.732849,-33.52623,31.45683,-79.12331,-55.903797,-116399.5875709889,-6752.39514505603,-720.9005828000002,8796180172727,26,4,4664,0.0,6.495249
85.01624,2.135959,-26.493244,24.286173,-84.1597,-55.83834,-116370.07324148424,-7206.815523322907,-751.6297652499999,8796170877858,26,4,4664,0.0,4.250308
83.490906,-0.14690812,-33.122143,3.047092,-76.030876,-65.12945,-116194.91793385684,-6347.439078656469,-744.2149318,8796149884690,26,4,4664,0.0,4.4169116
80.661606,10.510596,-29.262844,41.1737,-80.22203,-71.9005,-116223.18521536957,-6903.597902905381,-752.3689027999999,8796132881265,26,4,4664,0.0,4.250308
80.711395,4.4808574,-30.896906,51.11169,-79.07433,-64.39616,-116431.1400288247,-6611.223677353356,-704.4134577,8796157014956,26,4,4664,0.0,4.250308
80.6951,12.898313,-25.028706,54.96244,-67.76015,-83.655304,-116141.22118694574,-6176.834834628719,-723.3800327163,8796106720869,26,4,4664,0.0,4.250308
82.71766,-3.3554196,-35.147278,-1.5259277,-80.024475,-60.410027,-116062.05179174402,-6624.557442441263,-752.3698461,8796149768796,26,4,4664,0.0,4.250308
82.57913,2.8103957,-37.588394,-4.0360518,-77.94433,-56.124077,-116042.00584380844,-6425.232057209203,-755.3272526799999,8796131968534,26,4,4664,0.0,4.250308
81.08306,13.069406,-31.689507,45.92592,-72.70681,-66.205376,-116080.29892023808,-6495.515132042121,-743.9081740999999,8796173329552,26,4,4664,0.0,6.495249
81.91749,-11.13911,-33.54677,-3.591162,-89.29555,-52.6364,-115990.32885036364,-7354.86967271532,-765.237874349,8796130530764,26,4,4664,0.0,4.250308
82.15249,2.271973,-38.293015,4.8987145,-78.52607,-56.480034,-116008.84834298072,-6462.241927493009,-746.8969768199997,7308834894585,26,4,4664,0.0,4.250308
83.338524,-3.3409157,-37.25901,4.301957,-78.03006,-52.51624,-115902.49371931449,-6488.537552349417,-734.1324451999999,8796172714985,26,4,4664,0.0,4.250308
79.901535,-3.698951,-43.73422,-2.4068139,-78.92278,-49.6974,-115771.0512385812,-6314.953955149518,-746.5691086,8796123479821,26,4,4664,0.0,4.250308
84.54824,8.001316,-28.302673,42.725296,-74.48228,-61.8505,-115824.607348732,-6639.204279676736,-728.98491884,8796136240052,26,4,4664,0.0,6.495249
76.94173,-4.440056,-30.468662,67.677605,-91.04397,-67.65323,-116107.72488933508,-6704.588201722221,-688.78709295,8796189853906,26,4,4664,0.0,6.6778803
79.17126,1.0470062,-22.104467,54.505512,-84.926285,-94.04753,-116067.12868930786,-6780.788599567274,-766.5027749740001,8796186860674,26,4,4664,0.0,4.581578
73.40319,12.866682,-22.91815,87.34832,-71.613304,-105.65607,-115756.87027776816,-6380.528016714,-720.440709565,7308830984940,26,4,4664,0.0,4.250308
72.36006,11.306998,-28.482576,90.9055,-70.67414,-99.7064,-115580.5649020252,-6141.8533175374,-696.0852982999999,8796179133696,26,4,4664,0.0,6.495249
